n_features,n_samples,obs_per_village,feautre_power,count_accuracy,mse_naive,mse_model
1,100,2,1,0.44,484.46642418822506,573.0561292840774
1,100,2,1,0.44,641.6864102797593,370.706456758643
1,100,2,1,0.06,2.4159345424557612,230.31703331777805
1,100,2,1,0.02,0.012914198192336902,61.16955473753623
1,100,2,1,0.26,283.15999389283746,442.89909048396106
1,100,2,0.5,0.04,24.62043652485022,228.802798613593
1,100,2,0.5,0.14,6.435164894871073,248.19272104154152
1,100,2,0.5,0.02,0.06379937567251374,119.50069779888547
1,100,2,0.5,0.5,348.5332526251129,345.77445695486887
1,100,2,0.5,0.5,273.4079720280457,278.83220357717755
1,100,2,0.25,0.24,12.257437826100583,148.53841255402588
1,100,2,0.25,0.02,0.016485600708954305,55.92733989519268
1,100,2,0.25,0.36,87.6246431274548,137.22074733478442
1,100,2,0.25,0.64,197.96769934147918,225.3392662668758
1,100,2,0.25,0.02,0.07189245699569181,189.93262962959517
1,100,4,1,0.24,15.759470020369513,227.6153183916391
1,100,4,1,0.4,304.302215625692,362.1451896133917
1,100,4,1,0.04,1.7352162379902614,213.73738502181152
1,100,4,1,0.12,13.867465860064248,299.85188619657384
1,100,4,1,0.04,2.731792390107438,232.93228742989376
1,100,4,0.5,0.32,222.8411843212424,381.90698640291123
1,100,4,0.5,0.04,0.004622869456987648,36.067459717853914
1,100,4,0.5,0.4,249.27335013097456,392.4831143135376
1,100,4,0.5,0.48,262.6306121077424,278.79420812275276
1,100,4,0.5,0.0,0.016018673942015352,90.87480172127282
1,100,4,0.25,0.04,7.339403098293753,241.4367586228039
1,100,4,0.25,0.16,14.85794085816643,210.8189404615758
1,100,4,0.25,0.28,243.4025113437335,374.2790127487204
1,100,4,0.25,0.0,0.015577595995317528,211.00898038371005
1,100,4,0.25,0.48,301.4089571645294,311.07409779661725
1,96,6,1,0.125,4.979600759483329,219.44392971680196
1,96,6,1,0.0625,15.5120265192901,211.40035939443013
1,96,6,1,0.5,160.38480633407502,133.78865465399718
1,96,6,1,0.125,13.696159242426331,385.52295433172753
1,96,6,1,0.0625,9.422002755407673,237.79244402988888
1,96,6,0.5,0.1875,4.174027084830051,486.1609870756989
1,96,6,0.5,0.4375,82.83894891167196,96.91255372564908
1,96,6,0.5,0.5625,118.03510534013972,126.65382040290781
1,96,6,0.5,0.1875,3.3525030246670484,250.50145417584767
1,96,6,0.5,0.0625,3.127756960756547,129.51581134688314
1,96,6,0.25,0.0,0.004864580430836122,54.017180122656086
1,96,6,0.25,0.8125,257.07715010535105,72.80128441664726
1,96,6,0.25,0.6875,368.8094387481801,366.95658876683285
1,96,6,0.25,0.0625,11.012910602717778,141.65030422128638
1,96,6,0.25,0.3125,216.23666058748225,288.98264028682803
1,96,8,1,0.0,1.240431422565229,259.7588743043937
1,96,8,1,0.6666666666666666,200.78944630864783,154.80319860761685
1,96,8,1,0.08333333333333333,1.438228562949303,399.2877981082078
1,96,8,1,0.08333333333333333,1.2786205441027996,276.1115485539603
1,96,8,1,0.5,221.91842622524806,172.3871485137623
1,96,8,0.5,0.0,1.742438492853841,380.51233330982626
1,96,8,0.5,0.5,164.96723029797516,107.29983971407144
1,96,8,0.5,0.75,117.68182431621098,188.61273132475944
1,96,8,0.5,0.5,272.6137550102866,137.98168470814352
1,96,8,0.5,0.0,0.00300673426427127,7.529480765417187
1,96,8,0.25,0.0,0.0008707663528378728,13.085684111160306
1,96,8,0.25,0.08333333333333333,0.0019410524792487186,0.9452695050373524
1,96,8,0.25,0.5833333333333334,250.78889672111646,194.618627545823
1,96,8,0.25,0.5,59.33448358402038,183.83350499320682
1,96,8,0.25,0.0,0.0017688477122570123,6.652344168355445
1,100,10,1,0.0,0.826962182030108,173.02687130165748
1,100,10,1,0.0,0.001170817767459854,12.435158578030979
1,100,10,1,0.2,6.20092505275701,178.56380775069184
1,100,10,1,0.0,0.012418599239573575,14.307743670956185
1,100,10,1,0.6,123.46757233824539,72.77763774517997
1,100,10,0.5,0.0,1.4964717262386098,164.44844076247236
1,100,10,0.5,0.3,5.077499362386397,149.17998341493524
1,100,10,0.5,0.2,34.691062828388056,103.29002544190666
1,100,10,0.5,0.7,190.11233371806702,59.37446783501947
1,100,10,0.5,0.3,79.39408655334265,146.57932777780664
1,100,10,0.25,0.2,4.485873204148302,43.64421955842624
1,100,10,0.25,0.0,0.000364290018389446,10.426643094444021
1,100,10,0.25,0.5,27.0222147601253,25.32281505604173
1,100,10,0.25,0.0,0.017563065312896482,120.85337883866835
1,100,10,0.25,0.5,158.83809800960506,83.74891788901475
1,96,12,1,0.75,93.13268867604498,63.0942025404089
1,96,12,1,0.875,151.1173241363815,95.02033506890706
1,96,12,1,0.125,4.356472045380912,55.1133429067319
1,96,12,1,0.5,34.22341355958886,65.0545940353517
1,96,12,1,0.625,44.88102157666242,62.307623632724464
1,96,12,0.5,0.5,124.08281964358817,86.75064885699433
1,96,12,0.5,0.625,21.969620225022993,18.964642375909904
1,96,12,0.5,0.875,140.1506549485208,105.78488920505056
1,96,12,0.5,0.0,0.013557699944043485,92.10190689830064
1,96,12,0.5,0.5,264.8165959616877,203.64716617033523
1,96,12,0.25,0.625,109.60623846238244,36.23903976303011
1,96,12,0.25,0.375,2.8714568374503235,21.577924859266485
1,96,12,0.25,0.375,22.19635035830491,165.14772810664704
1,96,12,0.25,0.75,138.2791490572807,78.53932244206489
1,96,12,0.25,0.0,2.6448032187862927,422.92165258342436
1,98,14,1,0.42857142857142855,51.06754157944865,46.09401725249705
1,98,14,1,0.2857142857142857,52.048220554029555,62.74701810264922
1,98,14,1,0.7142857142857143,55.32191705820031,50.55306100416014
1,98,14,1,0.0,0.003463239095287374,20.098871835325237
1,98,14,1,0.0,0.0012657228788364296,10.395107205187402
1,98,14,0.5,0.8571428571428571,40.33518147799897,16.69543009152449
1,98,14,0.5,0.14285714285714285,2.678368498787456,218.11334839093658
1,98,14,0.5,0.0,0.0007926085942079813,2.405743699565048
1,98,14,0.5,0.7142857142857143,42.92701728302363,27.064429348935562
1,98,14,0.5,0.5714285714285714,109.45053522363078,102.66929271953617
1,98,14,0.25,0.5714285714285714,53.3739769731852,44.6498341149948
1,98,14,0.25,0.0,0.6402121712133152,46.334852763077606
1,98,14,0.25,0.14285714285714285,1.778400174023551,39.17900243153998
1,98,14,0.25,0.42857142857142855,15.077106276979027,32.12624804724541
1,98,14,0.25,0.0,0.000490963868548629,0.6925435160755377
1,96,16,1,0.0,0.4128720975290847,103.54261859655266
1,96,16,1,0.8333333333333334,90.43979952084142,32.20887013964792
1,96,16,1,0.8333333333333334,19.80913040161315,16.24699664157023
1,96,16,1,0.8333333333333334,200.67204767276345,193.30902993532263
1,96,16,1,0.0,1.7405198277552216,83.85284349959464
1,96,16,0.5,0.3333333333333333,98.1587282460667,155.38269435731826
1,96,16,0.5,0.0,2.1222443204960064,329.3007884339845
1,96,16,0.5,0.6666666666666666,129.79126734229848,38.583182927691745
1,96,16,0.5,0.5,47.700209657147006,69.43482684148235
1,96,16,0.5,0.5,72.76063263613847,52.61749175961639
1,96,16,0.25,0.0,18.056372841586654,250.71331604901943
1,96,16,0.25,0.5,83.15535581683494,26.172117812054143
1,96,16,0.25,0.3333333333333333,20.986263488448916,23.011128545583897
1,96,16,0.25,0.0,105.59793010907465,114.05090730652482
1,96,16,0.25,0.5,37.63877326753873,33.6682102312811
1,90,18,1,0.2,104.84608443156962,121.84164229917151
1,90,18,1,0.0,0.0006136578061593193,33.3959829745161
1,90,18,1,0.4,25.341228703610014,57.757502338737424
1,90,18,1,0.0,0.00016521913762766984,30.774425444761874
1,90,18,1,0.0,0.0019322434565716945,7.006590782953401
1,90,18,0.5,0.0,3.0065239579263277,127.32009851909416
1,90,18,0.5,0.0,0.001505171024980147,15.447810993352977
1,90,18,0.5,0.0,0.000579442338178307,0.13219563536735374
1,90,18,0.5,0.0,0.36425794543285006,196.1586729492909
1,90,18,0.5,0.6,117.85049729142902,84.70990765694945
1,90,18,0.25,0.0,1.5875752225668767,158.50632696454824
1,90,18,0.25,0.0,1.1481938958016387,241.97315728007
1,90,18,0.25,0.0,0.0004692997394938007,1.2579623609245028
1,90,18,0.25,0.2,12.298249448519147,63.59060989553821
1,90,18,0.25,0.0,0.0009214293793237515,21.624667017906198
1,100,20,1,0.0,0.0053691979066733345,85.94441565924697
1,100,20,1,0.0,0.000551608000078433,3.151212239924434
1,100,20,1,0.0,0.23123393123631536,192.99481919939768
1,100,20,1,0.2,99.82352728625378,35.40946146550529
1,100,20,1,0.0,0.019611444785202506,45.54034615672053
1,100,20,0.5,0.8,28.813834252484536,20.53134195193237
1,100,20,0.5,0.0,0.002087041027504178,44.63784708138747
1,100,20,0.5,0.4,20.670276983770233,11.957164870077332
1,100,20,0.5,0.8,20.154493719688176,5.140798697604327
1,100,20,0.5,0.4,44.526231674620306,53.056551565312034
1,100,20,0.25,0.2,3.3385013491430042,38.45687349133205
1,100,20,0.25,0.0,0.0010803829867678141,5.455041356903353
1,100,20,0.25,0.0,0.51720418623453,57.907748858712445
1,100,20,0.25,0.0,0.0006627898763719451,1.3496451602517063
1,100,20,0.25,0.2,0.00030805507578841363,1.2782989589655105
1,88,22,1,0.0,0.0039742169417125205,24.31069543374327
1,88,22,1,0.0,0.002650368397284052,54.028288462589046
1,88,22,1,0.0,0.0006810348844831054,32.30675262863943
1,88,22,1,0.0,0.1797197689155121,149.057539497248
1,88,22,1,0.75,33.795791047019016,13.74528215642976
1,88,22,0.5,1.0,130.25278505493668,28.68766221752426
1,88,22,0.5,0.75,72.95061923730353,53.870170381673425
1,88,22,0.5,0.25,19.645984862276297,107.23406303260239
1,88,22,0.5,0.0,0.8216716473554735,34.4606420703894
1,88,22,0.5,0.5,3.8819836428596535,42.7298110116191
1,88,22,0.25,0.25,41.88270658092878,66.85564764698898
1,88,22,0.25,0.25,8.035081853203677,21.164964278904115
1,88,22,0.25,0.0,1.0549627166957918,58.51271838291879
1,88,22,0.25,0.0,1.9047455198213918,89.78047835594614
1,88,22,0.25,0.0,0.006088629296161637,12.68134505430053
1,96,24,1,1.0,109.41014437064432,57.85240481435617
1,96,24,1,0.5,49.28080475057009,24.147729592102444
1,96,24,1,0.0,0.002247722614862669,21.21732127559426
1,96,24,1,0.0,0.0013218191925482377,23.927846663566022
1,96,24,1,0.25,1.9078416938863747,42.86767189119808
1,96,24,0.5,0.0,0.0007756515762166901,4.284890703625736
1,96,24,0.5,0.5,5.521932271039911,5.062656462585108
1,96,24,0.5,0.0,0.5825169984942131,275.80003624551176
1,96,24,0.5,0.25,13.571992439479938,33.086646411322526
1,96,24,0.5,0.25,48.78429097685975,58.252773434236076
1,96,24,0.25,0.0,0.001341659167926751,28.677231852920492
1,96,24,0.25,0.25,2.4582661599277444,13.027973269054103
1,96,24,0.25,0.25,2.0871609266539215,2.5409777296180502
1,96,24,0.25,0.0,1.2703170723684905,14.357924683256265
1,96,24,0.25,0.0,0.000774384311722196,2.386637561120464
1,78,26,1,0.0,2.2326586203797767,10.741020687018986
1,78,26,1,0.0,0.0013451391601652556,23.365374480764004
1,78,26,1,0.0,0.47346546652887445,26.716497805286647
1,78,26,1,0.0,1.4710380703993244,52.577254562434256
1,78,26,1,0.6666666666666666,68.92848754719624,54.869153167580556
1,78,26,0.5,0.0,0.00048469037891001797,58.216555452690876
1,78,26,0.5,0.0,0.27470201303608804,58.180898217405534
1,78,26,0.5,0.0,1.0124984526066605,39.30741800250379
1,78,26,0.5,0.0,0.0009323813271272501,20.63596749594649
1,78,26,0.5,0.3333333333333333,1.277043545426155,23.12971654795628
1,78,26,0.25,0.6666666666666666,23.97096884051133,20.3213150329689
1,78,26,0.25,0.3333333333333333,4.320409324953551,23.039243555046472
1,78,26,0.25,0.6666666666666666,92.99934023327087,56.4506031713951
1,78,26,0.25,0.6666666666666666,46.41976020203407,68.33807989478892
1,78,26,0.25,0.3333333333333333,17.0900971357968,19.817760185441433
1,84,28,1,0.0,0.060609967956413206,123.28648493048688
1,84,28,1,0.3333333333333333,78.2366111076095,32.62345561964707
1,84,28,1,0.0,0.0016264901013305205,0.28432662684194293
1,84,28,1,0.0,87.26592721217617,104.29805024976139
1,84,28,1,0.0,3.39353862267752,14.775478773376863
1,84,28,0.5,0.0,0.0002651279580373177,11.62035053805576
