n_features,n_samples,obs_per_village,feautre_power,count_accuracy,mse_naive,mse_model
1,100,2,1,0.32,257.8644663667572,285.90622112309
1,100,2,1,0.04,0.16026367497640012,254.38291904265483
1,100,2,1,0.52,414.84073827440835,391.0391881618341
1,100,2,1,0.04,0.046458155290886254,115.64668441022587
1,100,2,1,0.04,3.793032423703384,222.58614704831652
1,100,2,0.5,0.02,0.07954603604512625,179.22736814435964
1,100,2,0.5,0.58,194.095954836602,231.61019908599192
1,100,2,0.5,0.08,0.013043262609966617,24.093220380442677
1,100,2,0.5,0.38,467.47983251033185,419.16268013994556
1,100,2,0.5,0.44,656.2778509385548,577.3642710416923
1,100,2,0.25,0.12,37.03862719212553,295.82156416930417
1,100,2,0.25,0.58,775.6706765728799,700.5666745045418
1,100,2,0.25,0.04,0.1660609129207179,198.23486642822053
1,100,2,0.25,0.1,0.017525426315804945,31.211536267715502
1,100,2,0.25,0.44,165.07170645205835,213.26324064747226
1,100,4,1,0.0,0.01232572977263279,64.68146201943291
1,100,4,1,0.24,12.930246463260474,221.95748970941165
1,100,4,1,0.0,0.046961339000815366,343.84882367364946
1,100,4,1,0.64,226.0639592228263,228.14058257375353
1,100,4,1,0.52,448.71475221337664,448.15121122813974
1,100,4,0.5,0.08,12.724717809881374,392.1790417428239
1,100,4,0.5,0.16,9.758529075403581,191.2716786797347
1,100,4,0.5,0.44,244.953154912186,229.68326593432823
1,100,4,0.5,0.6,312.15010509769513,337.3139343034691
1,100,4,0.5,0.44,205.93797822618143,313.5575197453965
1,100,4,0.25,0.12,5.185576362745393,140.24696451109804
1,100,4,0.25,0.44,51.79725832537143,93.2678392545817
1,100,4,0.25,0.4,477.0472529233698,446.28273415889237
1,100,4,0.25,0.48,326.13556828361277,360.0169327187121
1,100,4,0.25,0.44,59.768255593640006,88.20402514570728
1,96,6,1,0.0,0.002051979468603994,7.56477026626641
1,96,6,1,0.4375,200.46152030073816,182.08085721646592
1,96,6,1,0.0625,0.04939545030366817,281.683025663128
1,96,6,1,0.5,166.72728408525967,173.97801393031978
1,96,6,1,0.75,194.3424827769702,70.30008155994207
1,96,6,0.5,0.5,168.15890803315642,217.37150869365007
1,96,6,0.5,0.375,183.94496040767456,461.3038681910624
1,96,6,0.5,0.5625,69.97967589033549,100.152505132183
1,96,6,0.5,0.0,0.008875986502186819,87.46846204413626
1,96,6,0.5,0.25,63.68404296772168,165.97933273670327
